entrez_id,logFC,PValue
100189589,-4.233073251,1.18E-22
2523,-2.394033914,1.23E-22
26047,-4.262243019,1.24E-22
9892,-4.424741288,1.26E-22
1325,-3.351664601,1.30E-22
26249,-2.689161231,1.31E-22
10612,-1.591863341,1.31E-22
219539,-2.874935052,1.50E-22
6000,-3.771329196,1.50E-22
100271702,-4.499422722,1.69E-22
157,-2.284023551,1.78E-22
57095,-1.390289131,1.82E-22
84897,-1.193218911,1.90E-22
2557,-4.67680741,1.90E-22
22883,-2.002780546,1.96E-22
114876,-1.883988426,2.05E-22
445582,5.322102129,2.22E-22
4987,-2.166296894,2.33E-22
59283,-3.978645228,2.35E-22
778,-2.903938529,2.60E-22
25977,-1.721408405,2.84E-22
8120,-2.758019812,2.92E-22
341359,-5.819471074,3.00E-22
130399,-4.057106533,3.02E-22
9256,-3.25120971,3.09E-22
64388,-4.218722588,3.34E-22
3765,-3.972388952,3.63E-22
23312,-1.801080648,3.76E-22
3788,-4.656091952,3.76E-22
10814,-4.780860031,3.82E-22
7224,-4.473679464,3.86E-22
84867,-4.326744215,4.19E-22
3768,-4.097648336,4.28E-22
23368,-2.10209358,4.33E-22
23387,-1.876378903,4.38E-22
56850,-1.665263877,4.51E-22
92255,-1.54890845,4.53E-22
390660,-3.374751007,4.54E-22
5414,-3.13775609,4.60E-22
57613,-2.008501031,4.78E-22
56884,-4.457849627,5.30E-22
148641,-4.19074152,5.31E-22
5590,-3.501028325,5.43E-22
220164,-4.004518558,5.54E-22
440093,3.352238471,5.86E-22
339524,-2.660936931,6.12E-22
23035,-1.991332151,6.65E-22
3747,-5.002191678,6.80E-22
6457,-4.196195697,7.54E-22
4591,-1.584470001,7.56E-22
91768,-2.739629381,7.58E-22
220965,-2.373600581,8.95E-22
113157,-2.805103919,1.01E-21
5621,-1.859693957,1.25E-21
57626,-5.40123078,1.25E-21
55074,-1.729776333,1.27E-21
124359,-2.507096322,1.30E-21
768222,-4.735809354,1.30E-21
3739,-4.608094092,1.31E-21
6865,-2.457006479,1.35E-21
6528,-4.016423481,1.37E-21
6751,-4.928092465,1.51E-21
55346,-1.544824461,1.53E-21
3020,2.910133109,1.64E-21
57030,-5.018455492,1.67E-21
10112,6.709665883,1.70E-21
57221,-3.26905912,1.80E-21
10313,-1.840530323,1.83E-21
29,-2.006190603,1.83E-21
3208,-3.9145288,1.99E-21
285780,-4.671298505,2.26E-21
29091,-3.648328285,2.40E-21
7465,4.110292609,2.64E-21
55844,-1.346149086,2.80E-21
285954,-4.219201764,2.87E-21
105,-3.96969673,2.87E-21
126567,-3.207672906,3.02E-21
22979,-2.10213374,3.04E-21
122553,-1.610994592,3.05E-21
5909,-2.932127821,3.06E-21
56660,-3.925317505,3.48E-21
116988,-1.727307991,3.82E-21
57586,-4.570843628,3.93E-21
283450,-2.177811884,3.96E-21
114134,-2.704633533,4.03E-21
1543,-3.769615286,4.04E-21
147670,-2.859066961,4.05E-21
283392,-4.852337251,4.22E-21
5063,-3.73887754,4.39E-21
23316,-4.631415985,4.41E-21
4741,-5.047160601,4.46E-21
10777,-3.394544167,4.48E-21
338758,-2.363824815,4.67E-21
54805,-1.971854939,4.68E-21
27133,-4.684342492,4.74E-21
490,-2.122941676,4.79E-21
9743,-2.216542401,5.07E-21
3760,-4.44052898,5.13E-21
27012,-5.384751199,5.16E-21
51127,-3.126090892,5.60E-21
333,-2.831008265,5.91E-21
221692,-2.776658706,6.05E-21
283999,-4.670795114,6.54E-21
93611,-1.789464432,6.63E-21
11188,-1.695279538,7.04E-21
123283,-1.975275302,7.43E-21
9677,-1.777918185,8.06E-21
9738,-1.900334843,8.16E-21
27067,-1.304303482,8.36E-21
100271715,-2.232997815,8.72E-21
8499,-3.787978612,9.18E-21
5494,-1.372143415,9.25E-21
51341,-1.777941048,9.36E-21
440279,-4.629892001,9.85E-21
221424,-2.840263086,1.01E-20
8237,-1.541325537,1.09E-20
9172,-2.337883525,1.14E-20
642968,-4.718958141,1.21E-20
9728,-1.885876513,1.24E-20
125113,-5.022031728,1.25E-20
56666,-2.741632494,1.27E-20
25769,-3.679348322,1.50E-20
57595,-2.625541968,1.61E-20
83851,-3.890762531,1.62E-20
26052,-3.129367304,1.69E-20
55700,-1.482569124,1.70E-20
54566,-3.617153014,1.79E-20
6770,-3.326566641,1.98E-20
158399,-2.510660418,2.00E-20
9645,-3.279625567,2.17E-20
2166,-2.868343198,2.20E-20
1850,-2.882766797,2.27E-20
55450,-2.574937093,2.42E-20
107,-3.443711594,2.56E-20
4248,-2.890223646,2.73E-20
534,-3.038564192,2.82E-20
274,-2.299236492,3.02E-20
9787,7.150901788,3.03E-20
2785,-3.957577397,3.11E-20
784,-2.243867621,3.20E-20
2554,-5.013568705,3.34E-20
36,-1.723042888,3.35E-20
653269,4.939756019,3.38E-20
10982,-1.47741576,3.44E-20
54386,-1.464573927,3.46E-20
