entrez_id,symbol,logFC,logCPM,LR,p_value,FDR
29079,MED4,-0.373397231,6.209963918,1.675678891,0.195499617,0.374251231
837,CASP4,0.659428062,6.124320452,1.67482502,0.195613507,0.374413761
51727,CMPK1,-0.309587873,6.542818411,1.674176413,0.195700071,0.374523947
10198,MPHOSPH9,-0.377777177,4.146489358,1.672725935,0.195893815,0.374839188
2067,ERCC1,0.363667877,5.337089346,1.67194735,0.195997906,0.37498281
6387,CXCL12,-0.527572729,4.244593843,1.671452191,0.196064138,0.375053971
4152,MBD1,0.423710204,6.09712053,1.670940665,0.196132587,0.37512935
56133,PCDHB2,0.88169335,3.252293334,1.669372054,0.196342664,0.375475547
197135,PATL2,-0.658470824,2.386642542,1.668600513,0.196446089,0.375617718
1212,CLTB,-0.537298314,6.90907225,1.667589629,0.196581695,0.37582137
154810,AMOTL1,0.494038639,1.829353084,1.667274066,0.196624049,0.375821519
125058,TBC1D16,0.863064816,1.544419825,1.667155482,0.196639968,0.375821519
643836,ZFP62,-0.554669282,2.743620545,1.665664467,0.196840251,0.376148644
11234,HPS5,-0.349373058,5.89850265,1.664682857,0.196972238,0.376345182
84912,SLC35B4,-0.284484139,5.892932824,1.664249957,0.197030479,0.376351236
7372,UMPS,0.370455107,5.072881419,1.664226141,0.197033683,0.376351236
84287,ZDHHC16,-0.387771089,4.029141023,1.663027063,0.197195111,0.376603882
7064,THOP1,0.512344377,6.679909486,1.662749598,0.197232487,0.376619575
4795,NFKBIL1,0.638860891,3.85646987,1.661488534,0.197402465,0.376888431
9406,ZRANB2,-0.355369983,4.909956073,1.658744087,0.19777298,0.377484266
54940,OCIAD1,-0.382427767,5.938467147,1.658743964,0.197772997,0.377484266
4332,MNDA,-0.679076815,5.163025523,1.658359875,0.197824916,0.377515157
9997,SCO2,0.62373989,2.890918662,1.658191813,0.197847639,0.377515157
256586,LYSMD2,-0.670766165,2.148970238,1.657214406,0.197979849,0.37771163
26993,AKAP8L,0.348175935,6.818609543,1.655995103,0.198144926,0.377970737
3425,IDUA,0.498028935,4.658353941,1.654761003,0.19831217,0.378233902
253558,LCLAT1,-0.311872951,5.661877076,1.654464868,0.198352327,0.378254636
201161,CENPV,-0.577965176,6.033627352,1.65384683,0.198436165,0.378333337
9132,KCNQ4,-0.937544233,1.470784217,1.6537288,0.19845218,0.378333337
729533,FAM72A,0.628571842,2.157935949,1.651827278,0.198710411,0.378736833
112885,PHF21B,0.678808106,2.791923371,1.651738499,0.198722477,0.378736833
131076,CCDC58,0.402517556,5.343302649,1.651212324,0.198794008,0.378762251
80221,ACSF2,-0.646259322,4.591212971,1.651208964,0.198794464,0.378762251
2734,GLG1,0.292195124,4.952400775,1.650221096,0.198928841,0.378962377
3149,HMGB3,0.422831287,5.240683253,1.649745899,0.198993519,0.379029685
54552,GNL3L,0.472453331,2.174467631,1.649356879,0.199046486,0.37907467
81537,SGPP1,-0.509677141,4.184827336,1.649122578,0.199078395,0.379079544
3673,ITGA2,-0.609978939,4.60973829,1.648487159,0.199164962,0.379166586
6786,STIM1,-0.372586099,4.852634124,1.648356126,0.199182819,0.379166586
6275,S100A4,0.758656923,6.273993059,1.647856507,0.199250923,0.379240337
85459,CEP295,-0.39886123,4.119600793,1.647402074,0.199312892,0.379302388
9329,GTF3C4,0.394353605,6.43449697,1.645509014,0.199571282,0.37970892
2651,GCNT2,-0.519913411,2.429114816,1.645406328,0.199585309,0.37970892
10163,WASF2,0.611573127,6.41546748,1.644950112,0.199647644,0.379771571
122616,CLBA1,0.491676833,2.857997111,1.644572128,0.199699307,0.379813907
57189,KIAA1147,-0.360918042,7.567761779,1.64369024,0.199819904,0.379984793
23093,TTLL5,-0.477828148,5.192190399,1.643484907,0.199847995,0.379984793
1519,CTSO,-0.528127502,3.497707802,1.640987741,0.20019,0.380579046
4926,NUMA1,0.35941325,7.962537173,1.640578056,0.200246175,0.380629816
9862,MED24,0.444410521,7.350115528,1.639680868,0.20036926,0.380807734
9283,GPR37L1,-0.592568474,7.032739179,1.637055872,0.200729893,0.381403743
143888,POGLUT3,0.606766981,3.857005302,1.636968424,0.20074192,0.381403743
51471,NAT8B,-0.618554512,1.804275514,1.636073395,0.200865066,0.381581585
81796,SLCO5A1,-0.881714345,1.375588489,1.635632854,0.200925713,0.381640662
677793,SNORA2A,0.6475919,5.95139582,1.634821639,0.201037443,0.381760901
55086,RADX,-0.660393041,2.914901413,1.634744073,0.20104813,0.381760901
5451,POU2F1,-0.34960929,4.756695116,1.634125454,0.201133389,0.381866654
9150,CTDP1,0.436678713,3.766961554,1.633582712,0.201208224,0.381952591
55347,ABHD10,-0.494620325,3.082656151,1.631436953,0.201504413,0.382458633
349136,WDR86,0.322599512,6.913538207,1.631050264,0.201557844,0.382503836
102724776,LOC102724776,-0.455349213,4.081720318,1.630653301,0.201612712,0.382551753
28976,ACAD9,0.358054878,5.526557285,1.630068736,0.201693542,0.382648911
55603,TENT5A,0.685056001,5.509032519,1.629472225,0.201776063,0.382749248
10109,ARPC2,0.344670448,9.486271331,1.628740757,0.201877308,0.382835033
388566,ZNF470,0.339743671,4.410622087,1.628717214,0.201880568,0.382835033
874,CBR3,0.64463725,2.444174756,1.62776177,0.202012907,0.383006086
4726,NDUFS6,0.295587819,6.602503183,1.627637867,0.202030076,0.383006086
51686,OAZ3,0.418006511,6.126739694,1.627104086,0.202104062,0.383090119
650,BMP2,0.636999975,3.685043485,1.626783468,0.202148518,0.38311816
27247,NFU1,-0.301729589,6.287118205,1.624781482,0.202426365,0.383536682
65267,WNK3,0.343370323,4.711376369,1.624764408,0.202428737,0.383536682
78999,LRFN4,0.668002735,3.276046708,1.62427769,0.202496355,0.383608525
6829,SUPT5H,0.413642818,8.196929224,1.623965919,0.202539682,0.383631676
115265,DDIT4L,0.807496401,4.262900226,1.623652046,0.202583313,0.383631676
2898,GRIK2,-0.684549846,6.050553794,1.623548692,0.202597682,0.383631676
29958,DMGDH,-0.549839458,2.942153246,1.621554166,0.202875217,0.384100895
