entrez_id,logFC,PValue
6638,-5.077358499,3.68E-06
25769,-3.131802736,3.71E-06
98,-1.510717005,3.81E-06
5582,-5.168793363,3.93E-06
7433,-3.625235385,3.94E-06
1272,-2.695235865,4.10E-06
1955,-1.449611038,4.19E-06
10783,1.957970574,4.25E-06
9108,-5.300565448,4.30E-06
216,-2.604413562,4.31E-06
1978,2.140176627,4.40E-06
150209,-3.739120313,4.41E-06
27147,1.27045074,4.48E-06
54329,-2.32755944,4.48E-06
440823,-3.006267857,4.49E-06
60592,-1.937842844,4.55E-06
100129858,-1.866546124,4.59E-06
320,-1.929840609,4.67E-06
5414,-3.574721838,4.70E-06
55176,-1.802060551,4.71E-06
51129,2.761819274,4.72E-06
23285,-2.434318981,4.74E-06
219749,-1.484320666,4.76E-06
132864,-1.655148293,4.78E-06
3675,2.222526626,4.78E-06
83698,-4.10859656,4.81E-06
81617,-2.434349834,4.85E-06
280,-1.897072067,4.92E-06
6277,1.404300835,4.96E-06
23335,-1.3437751,5.02E-06
259230,-1.692770681,5.05E-06
57101,-1.805715551,5.07E-06
65055,-2.200407692,5.09E-06
805,-1.703126238,5.10E-06
92482,-1.812204702,5.12E-06
79602,-1.545527081,5.18E-06
4833,1.51024193,5.21E-06
491,-3.568784524,5.40E-06
6272,-1.32123081,5.51E-06
285175,-4.172757208,5.54E-06
80817,-3.151862155,5.71E-06
22924,-1.76966587,5.73E-06
9728,-1.57385564,5.80E-06
221303,-2.660727464,5.80E-06
389072,-1.26223294,5.88E-06
23017,-2.699039878,5.92E-06
9856,-2.724815377,5.98E-06
57118,-2.105026299,6.04E-06
154091,-2.107077971,6.19E-06
84899,-2.041095659,6.21E-06
9478,-4.92883678,6.26E-06
54602,-1.756024146,6.31E-06
29119,-3.190356651,6.32E-06
3628,-1.540709388,6.34E-06
84002,-2.156196445,6.35E-06
132204,-6.087673114,6.38E-06
2774,-3.482464149,6.43E-06
1019,1.4266028,6.63E-06
10507,-2.240228855,6.66E-06
85458,-1.624269262,6.92E-06
5865,-3.319035238,6.95E-06
64849,-2.079438175,7.04E-06
114792,-3.320377888,7.04E-06
27314,-1.286901074,7.07E-06
8644,-2.740708206,7.07E-06
5019,-1.304907835,7.09E-06
5796,-1.871691033,7.19E-06
5806,2.874450184,7.20E-06
84617,2.351100497,7.23E-06
4072,-2.558351467,7.47E-06
6304,-2.080002988,7.48E-06
55966,-2.83447873,7.48E-06
401190,-3.43665761,7.51E-06
25937,2.145305213,7.54E-06
47,1.23172976,7.57E-06
100287225,-3.47137552,7.58E-06
10276,-1.957541355,7.64E-06
1718,-2.043553326,7.75E-06
9162,-3.0118069,7.83E-06
84254,-3.039504648,8.10E-06
2620,-2.842262092,8.10E-06
57415,-1.606208167,8.10E-06
23122,-1.548232657,8.11E-06
2051,-3.685747485,8.18E-06
5590,-3.2175475,8.38E-06
10367,-1.102851151,8.48E-06
9645,-2.553269434,8.50E-06
123606,-1.633874552,8.66E-06
3632,-1.475602575,8.82E-06
4234,1.506201198,8.84E-06
1607,-3.507233759,9.06E-06
64943,1.813186344,9.10E-06
10314,-1.63758277,9.14E-06
5216,1.249350174,9.28E-06
6142,1.187505815,9.31E-06
4629,-2.897274088,9.36E-06
51148,-2.269046076,9.37E-06
11101,-2.105821731,9.46E-06
11155,-3.70424484,9.68E-06
7259,-1.544222876,9.70E-06
1346,-2.79285867,9.87E-06
347736,-2.438512647,9.90E-06
64798,-2.118911609,9.92E-06
8867,-1.831915676,1.01E-05
26059,-2.836590084,1.01E-05
55800,-3.330227445,1.01E-05
253832,-2.114416149,1.02E-05
9522,-1.656187564,1.02E-05
54805,-1.116150989,1.03E-05
340481,-1.701809999,1.03E-05
221074,-2.931464506,1.04E-05
80243,-1.384610006,1.05E-05
83743,1.408079268,1.07E-05
118611,-2.736189966,1.07E-05
23154,-2.280536895,1.08E-05
6586,-2.72965433,1.09E-05
3792,-2.685794978,1.09E-05
283624,-1.436747527,1.12E-05
23232,-1.604240163,1.14E-05
152098,-1.82724204,1.15E-05
144811,-3.042403614,1.17E-05
54751,2.290332091,1.18E-05
23095,-1.31160338,1.18E-05
7273,-2.293186914,1.18E-05
5549,-1.697970883,1.19E-05
54536,-1.554744252,1.19E-05
6860,-4.666228887,1.20E-05
26051,-3.360381,1.21E-05
3007,1.933057287,1.22E-05
11141,-3.334414465,1.22E-05
23555,-1.918544675,1.22E-05
5479,1.262260239,1.22E-05
55847,-1.38564492,1.23E-05
57188,-2.634227272,1.25E-05
801,-1.623479185,1.26E-05
9495,-3.235701121,1.28E-05
9515,-2.885842195,1.30E-05
171019,-3.259901551,1.31E-05
57142,-1.600943795,1.31E-05
1496,-2.096641363,1.32E-05
5332,-1.915996848,1.33E-05
10645,-2.324306781,1.34E-05
3759,-1.850710868,1.35E-05
56005,1.531688071,1.36E-05
8448,-2.986090583,1.37E-05
9783,-3.332952899,1.39E-05
256435,-2.359892446,1.40E-05
4978,-3.322776517,1.40E-05
8120,-2.301098543,1.43E-05
79745,-1.431862901,1.48E-05
8514,-2.618288571,1.48E-05
8736,-1.993616923,1.49E-05
221061,-1.857274659,1.51E-05
53344,-2.134079771,1.52E-05
56521,-2.347813031,1.52E-05
26232,-2.703606971,1.57E-05
26256,-2.429490334,1.58E-05
4145,-3.928910603,1.59E-05
57535,-2.212646378,1.59E-05
7298,1.70282534,1.59E-05
773,-2.321453451,1.61E-05
131566,2.002287029,1.61E-05
92270,-2.174959118,1.64E-05
4604,-2.816033657,1.65E-05
5579,-3.124394326,1.66E-05
84034,2.125074581,1.68E-05
85315,-3.103547009,1.71E-05
55182,-1.96046069,1.72E-05
7813,-1.336584421,1.74E-05
10335,-2.062035473,1.74E-05
55799,-3.068871242,1.75E-05
7008,-2.043608679,1.77E-05
8927,-3.256914363,1.86E-05
5230,1.583800044,1.88E-05
54933,-2.438086889,1.88E-05
3796,-2.935642834,1.89E-05
7010,-1.871364702,1.90E-05
157567,-2.258984147,1.91E-05
2202,1.866643871,1.91E-05
27289,-1.907393318,1.92E-05
10606,1.059454141,1.94E-05
100505576,-2.697585205,1.94E-05
79600,1.162321708,1.95E-05
192683,-1.88531514,1.96E-05
282991,-1.265193707,1.96E-05
117178,-1.976606514,2.00E-05
6096,-2.397867427,2.01E-05
1611,1.194273694,2.02E-05
84466,-2.653201864,2.03E-05
1809,1.442687626,2.03E-05
22839,-3.75510351,2.05E-05
6416,-1.76148043,2.07E-05
273,-3.613026883,2.10E-05
4293,-2.732717196,2.10E-05
57559,-1.937323927,2.10E-05
7408,1.505588211,2.14E-05
4318,2.547761622,2.14E-05
274,-2.61316044,2.17E-05
10411,-1.88657312,2.19E-05
2550,-2.829816837,2.19E-05
91404,-1.358987295,2.20E-05
5318,-2.728394859,2.21E-05
23236,-1.710920305,2.22E-05
113189,1.810550552,2.23E-05
5153,-2.41769433,2.24E-05
29114,-3.226295891,2.25E-05
64112,-1.762146433,2.28E-05
5923,-3.981900613,2.28E-05
5649,-3.831254931,2.29E-05
9821,-1.423357133,2.31E-05
59353,-2.589200562,2.35E-05
2861,-2.300116506,2.36E-05
157,-1.746946822,2.38E-05
23233,-1.224674958,2.40E-05
87,1.618219521,2.40E-05
4915,-2.451727683,2.42E-05
5950,-2.954954248,2.43E-05
57678,-1.33702821,2.44E-05
55964,-2.376175131,2.44E-05
54732,1.232829083,2.47E-05
57180,-2.033056021,2.48E-05
4659,-1.31488676,2.51E-05
9397,-1.176143785,2.54E-05
57458,-1.557233844,2.55E-05
57761,2.468936736,2.55E-05
933,-3.856185886,2.59E-05
22809,1.795633477,2.60E-05
3775,-4.217621706,2.62E-05
27020,-3.287523621,2.64E-05
161725,-2.788715298,2.64E-05
57476,-1.939185988,2.64E-05
9961,1.624238788,2.69E-05
388650,-1.513581502,2.75E-05
340419,-3.525275164,2.77E-05
9236,-2.50845706,2.78E-05
140576,1.530827384,2.81E-05
79628,-2.889650078,2.85E-05
83468,-2.193733801,2.86E-05
79785,-3.380901714,2.93E-05
142891,-1.06167499,2.95E-05
266812,-2.116190208,2.98E-05
285331,-1.363736338,2.99E-05
10763,2.390279933,3.00E-05
23416,-3.732412418,3.02E-05
55168,1.374284444,3.04E-05
153020,-1.905870895,3.05E-05
90025,-1.666619882,3.06E-05
7812,-2.062453527,3.11E-05
7782,-1.883636193,3.12E-05
977,1.731425581,3.15E-05
3815,-2.39320632,3.15E-05
5495,-0.986298006,3.17E-05
152789,-3.290059862,3.20E-05
90853,3.188829997,3.22E-05
9123,2.257459143,3.22E-05
26049,-1.234489421,3.23E-05
8407,1.648350419,3.24E-05
23639,-1.767054753,3.24E-05
55117,-4.33135197,3.27E-05
26960,-1.703947413,3.29E-05
30846,1.923967889,3.29E-05
1073,-1.324831528,3.29E-05
64376,-1.34893473,3.32E-05
3955,2.189634139,3.32E-05
100129792,-2.649237079,3.33E-05
7431,2.109636255,3.34E-05
80003,-1.6106139,3.42E-05
80705,-1.882597098,3.43E-05
83692,-1.160982552,3.44E-05
4345,-1.922388614,3.49E-05
80005,-2.784083735,3.54E-05
151556,-1.480686114,3.61E-05
90627,-1.081105085,3.64E-05
7873,1.139869527,3.66E-05
79155,1.531199855,3.72E-05
11215,-1.448114407,3.74E-05
394,-1.381745996,3.91E-05
10212,1.462522646,3.91E-05
7018,-3.0633046,3.93E-05
9133,2.014293356,3.94E-05
5151,-1.549414506,3.96E-05
201895,-1.024029109,3.96E-05
163882,-1.581709892,3.98E-05
84623,-2.178703122,3.99E-05
758,-4.958550105,4.05E-05
29116,-1.272385536,4.06E-05
9700,2.52743351,4.07E-05
54557,-1.427242425,4.08E-05
3306,-2.300823369,4.08E-05
4306,-1.914279037,4.10E-05
57446,-1.330325742,4.10E-05
400954,-1.976868253,4.14E-05
57687,-2.640642775,4.25E-05
100379250,-1.959186571,4.34E-05
23057,-3.240512139,4.36E-05
3756,-2.129813548,4.38E-05
1793,-1.36479956,4.44E-05
56660,-2.986703039,4.44E-05
2201,3.322392672,4.45E-05
25907,2.07494582,4.46E-05
22834,-1.217837094,4.48E-05
6588,4.301093762,4.49E-05
1984,1.218985223,4.55E-05
100287177,-2.199092863,4.55E-05
9765,-1.213016141,4.56E-05
11076,-2.781343196,4.57E-05
8707,-3.472180662,4.57E-05
4609,2.12562929,4.59E-05
4327,2.948214095,4.62E-05
55504,2.21497973,4.63E-05
2346,-2.525906765,4.70E-05
8991,-2.056463037,4.75E-05
84816,-1.431068008,4.80E-05
728464,-2.16951465,4.87E-05
161436,-1.889012617,4.88E-05
2817,1.614806054,4.90E-05
7222,-2.787294666,5.07E-05
57475,-2.466428775,5.08E-05
408,-2.209716549,5.11E-05
51090,-2.774369808,5.12E-05
112755,-2.506424893,5.17E-05
3208,-2.853708209,5.21E-05
5441,0.998397006,5.32E-05
222183,-2.946851497,5.43E-05
26030,-1.762217608,5.43E-05
57010,2.337698942,5.50E-05
10767,-1.40023973,5.52E-05
1183,-1.940708755,5.56E-05
5502,-2.448528727,5.62E-05
26047,-4.037568849,5.63E-05
90624,-1.073005437,5.66E-05
